时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘,总得分,是否大分
2018/1/2 19:35,北京农商银行,天津滨海云商,114,111,61,55,13.5,216.5,225,YES
2018/1/2 19:35,青岛国信双星,北京首钢,81,94,42,43,-6.5,214.5,175,NO
2018/1/2 19:35,山西汾酒股份,上海哔哩哔哩,97,116,44,57,5.5,223.5,213,NO
2018/1/2 19:35,浙江广厦控股,辽宁本钢,115,121,53,58,3.5,214.5,236,YES
2018/1/2 19:35,深圳马可波罗,八一双鹿电池,106,101,55,50,18,202.5,207,YES
2018/1/2 19:35,福建SBS,山东高速,115,104,64,48,-6.5,227.5,219,NO
2018/1/2 19:35,江苏肯帝亚,九台农商银行,96,104,51,53,18.5,222.5,200,NO
2018/1/2 20:00,新疆喀什古城,广州证券,128,120,55,52,9.5,225.5,248,YES
2018/1/3 19:35,南京同曦,浙江稠州银行,102,91,59,45,-7.5,221.5,193,NO
2018/1/4 19:35,北京农商银行,山西汾酒股份,144,138,63,69,7.5,216.5,282,YES
2018/1/4 19:35,福建SBS,青岛国信双星,122,101,63,42,11.5,231.5,223,NO
2018/1/4 19:35,深圳马可波罗,浙江广厦控股,88,92,44,46,5.5,215.5,180,NO
2018/1/4 19:35,上海哔哩哔哩,四川品胜,119,92,61,42,11.5,212.5,211,NO
2018/1/5 19:35,北京首钢,天津滨海云商,106,98,54,41,12,205.5,204,NO
2018/1/5 19:35,辽宁本钢,江苏肯帝亚,84,98,38,45,11,211.5,182,NO
2018/1/5 19:35,九台农商银行,南京同曦,94,107,50,54,2,223.5,201,NO
2018/1/5 19:35,浙江稠州银行,山东高速,97,113,47,49,-1.5,216.5,210,NO
2018/1/5 19:35,广州证券,八一双鹿电池,121,102,63,46,8.5,188.5,223,YES
2018/1/5 19:35,新疆喀什古城,广东东莞银行,104,96,53,48,5.5,213.5,200,NO
2018/1/6 19:35,北京农商银行,上海哔哩哔哩,103,100,55,31,7,212.5,203,NO
2018/1/7 19:35,四川品胜,新疆喀什古城,105,96,47,51,-12.5,221.5,201,NO
2018/1/7 19:35,天津滨海云商,福建SBS,102,129,46,60,-4.5,229.5,231,YES
2018/1/7 19:35,浙江稠州银行,青岛国信双星,106,92,48,37,13.5,218.5,198,NO
2018/1/7 19:35,江苏肯帝亚,深圳马可波罗,97,100,48,42,5.5,204.5,197,NO
2018/1/7 19:35,广州证券,浙江广厦控股,119,129,51,64,-5.5,221.5,248,YES
2018/1/7 19:35,八一双鹿电池,广东东莞银行,78,97,45,42,-13.5,189.5,175,NO
2018/1/7 19:35,山东高速,九台农商银行,127,105,53,54,22.5,221.5,232,YES
2018/1/7 19:35,北京首钢,山西汾酒股份,125,112,68,65,15.5,209.5,237,YES
